V21,NAME, RISK ,,,,
422,이미용 및 관련서비스 종사자, 0.379 ,,,,
423,혼례 및 장례 종사자, 0.259 ,,,,
429,기타 이미용예식 및 의료보조 서비스 종사자, 0.408 ,,,,
431,운송 서비스 종사자, 0.380 ,,,,
432,여가 및 스포츠 관련 종사자, 0.546 ,,,,
441,주방장 및 조리사, 0.549 ,,,,
442,음식서비스 종사자, 0.857 ,,,,
510,영업종사자, 0.599 ,,,,
521,매장 판매 종사자, 0.799 ,,,,
522,상품 대여 종사자, 0.970 ,,,,
530,방문노점 및 통신 판매 관련 종사자, 0.890 ,,,,
611,작물재배 종사자, 0.612 ,,,,
612,원예 및 조경 종사자, 0.670 ,,,,
613,축산 및 사육관련 종사자, 0.750 ,,,,
620,임업관련 종사자, 0.792 ,,,,
630,어업관련 종사자, 0.730 ,,,,
710,식품가공관련 기능 종사자, 0.749 ,,,,
721,섬유 및 가죽관련 기능 종사자, 0.548 ,,,,
722,의복 제조관련 기능 종사자, 0.758 ,,,,
730,목재가구악기 및 간판 관련 기능 종사자, 0.785 ,,,,
741,금형주조 및 단조원, 0.838 ,,,,
742,제관원 및 판금원, 0.778 ,,,,
743,용접원, 0.775 ,,,,
751,자동차 정비원, 0.645 ,,,,
752,운송장비 정비원, 0.518 ,,,,
753,기계장비 설치 및 정비원, 0.602 ,,,,
761,전기 및 전자기기 설치 및 수리원, 0.551 ,,,,
762,전기공, 0.216 ,,,,
771,건설구조 관련 기능 종사자, 0.713 ,,,,
772,건설관련 기능 종사자, 0.691 ,,,,
773,건축마감관련 기능 종사자, 0.751 ,,,,
774,채굴 및 토목관련 기능 종사자, 0.663 ,,,,
780,영상 및 통신 장비 관련 설치 및 수리원, 0.583 ,,,,
791,공예 및 귀금속 세공원, 0.614 ,,,,
792,배관공, 0.485 ,,,,
799,기타 기능관련 종사자, 0.674 ,,,,
811,식품가공관련 기계조작원, 0.816 ,,,,
812,음료 제조관련 기계조작원, 0.816 ,,,,
819,기타 식품가공관련 기계조작원, 0.816 ,,,,
821,섬유제조 및 가공 기계조작원, 0.965 ,,,,
822,직물 및 신발 관련 기계조작원 및 조립원, 0.863 ,,,,
823,세탁관련 기계조작원, 0.710 ,,,,
831,석유 및 화학물 가공장치 조작원, 0.844 ,,,,
832,화학고무 및 플라스틱 제품 생산기 조작원, 0.886 ,,,,
841,주조 및 금속 가공관련 기계조작원, 0.880 ,,,,
842,도장 및 도금기 조작원, 0.880 ,,,,
843,비금속 제품 생산기 조작원, 0.842 ,,,,
851,금속공작기계 조작원, 0.898 ,,,,
852,냉난방 관련 설비 조작원, 0.890 ,,,,
853,자동조립라인 및 산업용 로봇 조작원, 0.360 ,,,,
854,운송차량 및 기계 관련 조립원, 0.805 ,,,,
855,금속기계부품 조립원, 0.805 ,,,,
861,발전 및 배전 장치 조작원, 0.614 ,,,,
862,전기 및 전자 설비 조작원, 0.923 ,,,,
863,전기전자 부품 및 제품 제조장치 조작원, 0.923 ,,,,
864,전기전자 부품 및 제품 조립원, 0.922 ,,,,
871,철도 및 전동차 기관사, 0.677 ,,,,
872,화물열차 차장 및 관련 종사원, 0.563 ,,,,
873,자동차 운전원, 0.529 ,,,,
874,물품이동 장비 조작원, 0.567 ,,,,
875,건설 및 채굴 기계운전원, 0.818 ,,,,
876,선박 갑판승무원 및 관련 종사원, 0.725 ,,,,
881,상하수도 처리장치 조작원, 0.597 ,,,,
882,재활용 처리 및 소각로 조작원, 0.597 ,,,,
891,목재 및 종이 관련 기계조작원, 0.870 ,,,,
892,인쇄 및 사진현상 관련 기계조작원, 0.910 ,,,,
899,기타 제조관련 기계조작원, 0.951 ,,,,
910,건설 및 광업 단순 종사원, 0.673 ,,,,
921,하역 및 적재 단순 종사원, 0.514 ,,,,
922,배달원, 0.879 ,,,,
930,제조관련 단순 종사원, 0.610 ,,,,
941,청소원 및 환경 미화원, 0.690 ,,,,
942,경비원 및 검표원, 0.784 ,,,,
951,가사 및 육아 도우미, 0.448 ,,,,
952,음식관련 단순 종사원, 0.863 ,,,,
953,판매관련 단순 종사원, 0.535 ,,,,
991,농림어업관련 단순 종사원, 0.860 ,,,,
992,계기검침수금 및 주차관련 종사원, 0.869 ,,,,
999,기타 서비스관련 단순 종사원, 0.907 ,,,,
